Geração,mutacao1,mutacao5,roleta,torneio,elitismo,somente_filhos,uniforme,dois_pontos
176,900,898,900,898,900,900,900,900
177,900,898,900,898,900,900,900,900
178,900,898,900,898,900,900,900,900
179,900,898,900,898,900,900,900,900
180,900,898,900,898,900,900,900,900
181,900,898,900,898,900,900,900,900
182,900,898,900,898,900,900,900,900
183,900,898,900,898,900,900,900,900
184,900,898,900,898,900,900,900,900
185,900,898,900,898,900,900,900,900
186,900,898,900,898,900,900,900,900
187,900,898,900,898,900,900,900,900
188,900,898,900,898,900,900,900,900
189,900,898,900,898,900,900,900,900
190,900,898,895,898,900,900,900,900
191,900,898,900,898,900,900,900,900
192,900,898,900,898,900,900,900,900
193,900,898,900,898,900,900,900,900
194,900,898,895,898,900,900,900,900
195,900,898,900,898,900,900,900,900
196,900,898,900,898,900,900,900,900
197,900,898,900,898,900,900,900,900
198,900,898,900,898,900,900,900,900
199,900,898,900,898,900,900,900,900
200,900,898,900,898,900,900,900,900
201,900,898,900,898,900,900,900,900
202,900,898,900,898,900,900,900,900
203,900,898,900,898,900,900,900,900
204,900,898,900,898,900,900,900,900
205,900,898,900,898,900,900,900,900
206,900,898,900,898,900,900,900,900
207,900,898,900,898,900,900,900,900
208,900,898,900,898,900,900,900,900
209,900,898,900,898,900,900,900,900
210,900,898,900,898,900,900,900,900
211,900,898,900,898,900,900,900,900
212,900,898,900,898,900,900,900,900
213,900,898,895,898,900,900,900,900
214,900,898,895,898,900,900,900,900
215,900,898,895,898,900,900,900,900
216,900,898,895,898,900,900,900,900
217,900,898,895,898,900,900,900,900
218,900,898,900,898,900,900,900,900
219,900,898,895,898,900,900,900,900
220,900,898,900,898,900,900,900,900
221,900,898,900,898,900,900,900,900
222,900,898,900,898,900,900,900,900
223,900,898,900,898,900,900,900,900
224,900,898,900,898,900,900,900,900
225,900,898,900,898,900,900,900,900
226,900,898,900,898,900,900,900,900
227,900,898,900,898,900,900,900,900
228,900,898,900,898,900,900,900,900
229,900,898,900,898,900,900,900,900
230,900,898,900,898,900,900,900,900
231,900,898,900,898,900,900,900,900
232,900,898,900,898,900,900,900,900
233,900,898,898,898,900,900,900,900
234,900,898,895,898,900,900,900,900
235,900,898,895,898,900,900,900,900
236,900,898,900,898,900,900,900,900
237,900,898,898,898,900,900,900,900
238,900,898,900,898,900,900,900,900
239,900,898,900,898,900,900,900,900
240,900,898,900,898,900,900,900,900
241,900,898,900,898,900,900,900,900
242,900,898,900,898,900,900,900,900
243,900,898,900,898,900,900,900,900
244,900,898,900,898,900,900,900,900
245,900,898,900,898,900,900,900,900
246,900,898,900,898,900,900,900,900
247,900,898,900,898,900,900,900,900
248,900,898,900,898,900,900,900,900
249,900,900,900,898,900,900,900,900
250,900,898,900,898,900,900,900,900
251,900,898,900,898,900,900,900,900
252,900,898,900,898,900,900,900,900
253,900,898,900,898,900,900,900,900
254,900,900,900,898,900,900,900,900
255,900,898,900,898,900,900,900,900
256,900,898,900,898,900,900,900,900
257,900,898,900,898,900,900,900,900
258,900,898,900,898,900,900,900,900
259,900,900,900,898,900,900,900,900
260,900,898,900,898,900,900,900,900
261,900,898,900,898,900,900,900,900
262,900,898,900,898,900,900,900,900
263,900,898,900,898,900,900,900,900
264,900,898,895,898,900,900,900,900
265,900,898,900,898,900,900,900,900
266,900,898,900,898,900,900,900,900
267,900,898,900,898,900,900,900,900
268,900,898,900,898,900,900,900,900
269,900,898,900,898,900,900,900,900
270,900,898,900,898,900,900,900,900
271,900,898,900,898,900,900,900,900
272,900,898,900,898,900,900,900,900
273,900,898,900,898,900,900,900,900
274,900,898,900,898,900,900,900,900
275,900,898,900,898,900,900,900,900
276,900,898,900,898,900,900,900,900
277,900,898,900,898,900,900,900,900
278,900,898,900,898,900,900,900,900
279,900,898,900,898,900,900,900,900
280,900,898,900,898,900,900,900,900
281,900,898,900,898,900,900,900,900
282,900,898,900,898,900,900,900,900
283,900,898,900,898,900,900,900,900
284,900,898,895,898,900,900,900,900
285,900,898,900,898,900,900,900,900
286,900,898,900,898,900,900,900,900
287,900,898,900,898,900,900,900,900
288,900,898,900,898,900,900,900,900
289,900,898,900,898,900,900,900,900
290,900,898,900,898,900,900,900,900
291,900,898,895,898,900,900,900,900
292,900,898,895,898,900,900,900,900
293,900,898,900,898,900,900,900,900
294,900,898,895,898,900,900,900,900
295,900,898,895,898,900,900,900,900
296,900,898,900,898,900,900,900,900
297,900,898,900,898,900,900,900,900
298,900,898,900,898,900,900,900,900
299,900,898,895,898,900,900,900,900
300,900,898,900,898,900,900,900,900
301,900,898,900,898,900,900,900,900
302,900,898,900,898,900,900,900,900
303,900,898,895,898,900,900,900,900
304,900,898,900,898,900,900,900,900
305,900,898,900,898,900,900,900,900
306,900,898,900,898,900,900,900,900
307,900,898,900,898,900,900,900,900
308,900,898,900,898,900,900,900,900
309,900,898,900,898,900,900,900,900
310,900,898,900,898,900,900,900,900
311,900,898,900,898,900,900,900,900
312,900,898,900,898,900,900,900,900
313,900,898,900,898,900,900,900,900
314,900,898,900,898,900,900,900,900
315,900,898,900,898,900,900,900,900
316,900,898,900,898,900,900,900,900
317,900,898,900,898,900,900,900,900
318,900,898,900,898,900,900,900,900
319,900,898,900,898,900,900,900,900
320,900,898,900,898,900,900,900,900
321,900,898,900,898,900,900,900,900
322,900,898,900,898,900,900,900,900
323,900,898,900,898,900,900,900,900
324,900,898,900,898,900,900,900,900
325,900,898,900,898,900,900,900,900
326,900,898,900,898,900,900,900,900
327,900,898,900,898,900,900,900,900
328,900,898,900,898,900,900,900,900
329,900,898,900,898,900,900,900,900
330,900,898,900,898,900,900,900,900
331,900,898,895,898,900,900,900,900
332,900,898,900,898,900,900,900,900
333,900,898,900,898,900,900,900,900
334,900,898,895,898,900,900,900,900
335,900,898,900,898,900,900,900,900
336,900,898,900,898,900,900,900,900
337,900,898,895,898,900,900,900,900
338,900,898,895,898,900,900,900,900
339,900,898,900,898,900,900,900,900
340,900,898,895,898,900,900,900,900
341,900,898,895,898,900,900,900,900
342,900,898,895,898,900,900,900,900
343,900,898,900,898,900,900,900,900
344,900,898,900,898,900,900,900,900
345,900,898,900,898,900,900,900,900
346,900,898,900,898,900,900,900,900
347,900,898,900,898,900,900,900,900
348,900,898,900,898,900,900,900,900
349,900,898,900,898,900,900,900,900
350,900,898,900,898,900,900,900,900
351,900,898,900,898,900,900,900,900
352,900,900,900,898,900,900,900,900
353,900,900,895,898,900,900,900,900
354,900,900,895,898,900,900,900,900
355,900,900,900,898,900,900,900,900
356,900,900,900,898,900,900,900,900
357,900,900,895,898,900,900,900,900
358,900,898,895,898,900,900,900,900
359,900,898,900,898,900,900,900,900
360,900,898,895,898,900,900,900,900
361,900,898,895,898,900,900,900,900
362,900,898,895,898,900,900,900,900
363,900,898,895,898,900,900,900,900
364,900,898,900,898,900,900,900,900
365,900,898,900,898,900,900,900,900
366,900,898,895,898,900,900,900,900
367,900,898,900,898,900,900,900,900
368,900,898,900,898,900,900,900,900
369,900,898,900,898,900,900,900,900
370,900,898,900,898,900,900,900,900
371,900,898,900,898,900,900,900,900
372,900,898,900,898,900,900,900,900
373,900,898,900,898,900,900,900,900
374,900,898,900,898,900,900,900,900
375,900,898,895,898,900,900,900,900
376,900,898,900,898,900,900,900,900
377,900,898,900,898,900,900,900,900
378,900,898,900,898,900,900,900,900
379,900,898,895,898,900,900,900,900
380,900,898,895,898,900,900,900,900
381,900,898,895,898,900,900,900,900
382,900,898,895,898,900,900,900,900
383,900,898,900,898,900,900,900,900
384,900,898,900,898,900,900,900,900
385,900,898,900,898,900,900,900,900
386,900,898,898,898,900,900,900,900
387,900,898,900,898,900,900,900,900
388,900,898,900,898,900,900,900,900
389,900,898,900,898,900,900,900,900
390,900,898,900,898,900,900,900,900
391,900,898,895,898,900,900,900,900
392,900,898,900,898,900,900,900,900
393,900,898,895,898,900,900,900,900
394,900,898,895,898,900,900,900,900
395,900,898,900,898,900,900,900,900
396,900,898,900,898,900,900,900,900
397,900,898,900,898,900,900,900,900
398,900,898,900,898,900,900,900,900
399,900,898,900,898,900,900,900,900
400,900,898,895,898,900,900,900,900
401,900,898,895,898,900,900,900,900
402,900,898,895,898,900,900,900,900
403,900,900,895,898,900,900,900,900
404,900,900,895,898,900,900,900,900
405,900,900,895,898,900,900,900,900
406,900,900,895,898,900,900,900,900
407,900,900,900,898,900,900,900,900
408,900,900,900,898,900,900,900,900
409,900,900,900,898,900,900,900,900
410,900,900,900,898,900,900,900,900
411,900,900,900,898,900,900,900,900
412,900,900,900,898,900,900,900,900
413,900,900,900,898,900,900,900,900
414,900,900,895,898,900,900,900,900
415,900,900,900,898,900,900,900,900
416,900,900,900,898,900,900,900,900
417,900,900,900,898,900,900,900,900
418,900,900,900,898,900,900,900,900
419,900,900,900,898,900,900,900,900
420,900,900,900,898,900,900,900,900
421,900,900,900,898,900,900,900,900
422,900,900,900,898,900,900,900,900
423,900,900,900,898,900,900,900,900
424,900,900,900,898,900,900,900,900
425,900,900,900,898,900,900,900,900
426,900,900,900,898,900,900,900,900
427,900,900,900,898,900,900,900,900
428,900,900,900,898,900,900,900,900
429,900,900,895,898,900,900,900,900
430,900,900,900,898,900,900,900,900
431,900,900,900,898,900,900,900,900
432,900,900,900,898,900,900,900,900
433,900,900,895,898,900,900,900,900
434,900,900,900,898,900,900,900,900
435,900,900,895,898,900,900,900,900
436,900,900,895,898,900,900,900,900
437,900,900,895,898,900,900,900,900
438,900,900,900,898,900,900,900,900
439,900,900,895,898,900,900,900,900
440,900,900,895,898,900,900,900,900
441,900,900,898,898,900,900,900,900
442,900,900,898,898,900,900,900,900
443,900,900,895,898,900,900,900,900
444,900,900,900,898,900,900,900,900
445,900,900,895,898,900,900,900,900
446,900,900,900,898,900,900,900,900
447,900,900,900,898,900,900,900,900
448,900,900,900,898,900,900,900,900
449,900,900,900,898,900,900,900,900
450,900,900,900,898,900,900,900,900
451,900,900,900,898,900,900,900,900
452,900,900,900,898,900,900,900,900
453,900,900,900,898,900,900,900,900
454,900,900,900,898,900,900,900,900
455,900,900,895,898,900,900,900,900
456,900,900,898,898,900,900,900,900
457,900,900,895,898,900,900,900,900
458,900,900,900,898,900,900,900,900
459,900,900,895,898,900,900,900,900
460,900,900,900,898,900,900,900,900
461,900,900,895,898,900,900,900,900
462,900,900,895,898,900,900,900,900
463,900,900,900,898,900,900,900,900
464,900,900,900,898,900,900,900,900
465,900,900,900,898,900,900,900,900
466,900,900,900,898,900,900,900,900
467,900,900,900,898,900,900,900,900
468,900,900,900,898,900,900,900,900
469,900,900,898,898,900,900,900,900
470,900,900,895,898,900,900,900,900
471,900,900,895,898,900,900,900,900
472,900,900,895,898,900,900,900,900
473,900,900,900,898,900,900,900,900
474,900,900,900,898,900,900,900,900
475,900,900,900,898,900,900,900,900
476,900,900,898,898,900,900,900,900
477,900,900,900,898,900,900,900,900
478,900,900,900,898,900,900,900,900
479,900,900,900,898,900,900,900,900
480,900,900,900,898,900,900,900,900
481,900,900,900,898,900,900,900,900
482,900,900,895,898,900,900,900,900
483,900,900,900,898,900,900,900,900
484,900,900,900,898,900,900,900,900
485,900,900,900,898,900,900,900,900
486,900,900,900,898,900,900,900,900
487,900,900,895,898,900,900,900,900
488,900,900,900,898,900,900,900,900
489,900,900,895,898,900,900,900,900
490,900,900,895,898,900,900,900,900
491,900,900,895,898,900,900,900,900
492,900,900,900,898,900,900,900,900
493,900,900,900,898,900,900,900,900
494,900,900,900,898,900,900,900,900
495,900,900,900,898,900,900,900,900
496,900,900,895,898,900,900,900,900
497,900,900,895,898,900,900,900,900
498,900,900,895,898,900,900,900,900
499,900,900,900,898,900,900,900,900
500,900,900,900,898,900,900,900,900
501,900,900,900,898,900,900,900,900
502,900,900,900,898,900,900,900,900
503,900,900,900,898,900,900,900,900
504,900,900,900,898,900,900,900,900
505,900,900,900,898,900,900,900,900
506,900,900,900,898,900,900,900,900
507,900,900,900,898,900,900,900,900
508,900,900,900,898,900,900,900,900
509,900,900,900,898,900,900,900,900
510,900,900,900,898,900,900,900,900
511,900,900,900,898,900,900,900,900
512,900,900,900,898,900,900,900,900
513,900,900,900,898,900,900,900,900
514,900,900,900,898,900,900,900,900
515,900,900,900,898,900,900,900,900
516,900,900,895,898,900,900,900,900
517,900,900,895,898,900,900,900,900
518,900,900,900,898,900,900,900,900
519,900,900,900,898,900,900,900,900
520,900,900,900,898,900,900,900,900
521,900,900,900,898,900,900,900,900
522,900,900,900,898,900,900,900,900
523,900,900,900,898,900,900,900,900
524,900,900,900,898,900,900,900,900
525,900,900,900,898,900,900,900,900
526,900,900,900,898,900,900,900,900
527,900,900,900,898,900,900,900,900
528,900,900,900,898,900,900,900,900
529,900,900,900,898,900,900,900,900
530,900,900,900,898,900,900,900,900
531,900,900,898,898,900,900,900,900
532,900,900,900,898,900,900,900,900
533,900,900,900,898,900,900,900,900
534,900,900,898,898,900,900,900,900
535,900,900,898,898,900,900,900,900
536,900,900,895,898,900,900,900,900
537,900,900,900,898,900,900,900,900
538,900,900,900,898,900,900,900,900
539,900,900,900,898,900,900,900,900
540,900,900,900,898,900,900,900,900
541,900,900,900,898,900,900,900,900
542,900,900,900,898,900,900,900,900
543,900,900,900,898,900,900,900,900
544,900,900,900,898,900,900,900,900
545,900,900,900,898,900,900,900,900
546,900,900,900,898,900,900,900,900
547,900,900,900,898,900,900,900,900
548,900,900,900,898,900,900,900,900
549,900,900,900,898,900,900,900,900
550,900,900,895,898,900,900,900,900
551,900,900,895,898,900,900,900,900
552,900,900,900,898,900,900,900,900
553,900,900,900,898,900,900,900,900
554,900,900,900,898,900,900,900,900
555,900,900,900,898,900,900,900,900
556,900,900,900,898,900,900,900,900
557,900,900,900,898,900,900,900,900
558,900,900,900,898,900,900,900,900
559,900,900,900,898,900,900,900,900
560,900,900,900,898,900,900,900,900
561,900,900,895,898,900,900,900,900
562,900,900,900,898,900,900,900,900
563,900,900,900,898,900,900,900,900
564,900,900,900,898,900,900,900,900
565,900,900,900,898,900,900,900,900
566,900,900,900,898,900,900,900,900
567,900,900,900,898,900,900,900,900
568,900,900,900,898,900,900,900,900
569,900,900,900,898,900,900,900,900
