Cromossomo          |            Fitness
1,0,1,1,1,0,1,1,                    900
1,0,1,1,1,0,1,1,                    900
1,0,1,1,1,0,1,1,                    900
1,0,1,1,1,1,0,0,                    898
1,0,1,1,1,1,0,0,                    898
1,0,1,1,1,0,1,0,                    895
1,0,1,1,1,0,0,1,                    895
1,0,1,1,1,0,0,1,                    895
1,0,1,1,1,0,1,0,                    895
1,0,1,1,1,0,1,0,                    895
1,0,1,1,1,0,0,0,                    890
1,0,1,1,1,0,0,0,                    890
1,0,1,1,1,0,0,0,                    890
1,0,1,1,1,0,0,0,                    890
0,1,1,1,0,1,1,1,                    888
1,0,1,0,1,1,1,1,                    888
0,1,1,1,0,1,0,1,                    883
0,1,1,1,0,1,1,0,                    883
0,1,1,1,0,1,0,1,                    883
1,0,1,0,1,1,0,1,                    883
1,0,1,0,1,1,1,0,                    883
1,0,1,0,1,1,0,0,                    878
1,0,1,0,1,1,0,0,                    878
1,0,1,0,1,1,0,0,                    878
1,0,1,0,1,1,0,0,                    878
1,0,1,0,1,0,0,1,                    875
1,0,1,0,1,0,0,1,                    875
0,1,1,0,0,1,0,1,                    863
1,1,0,1,1,1,0,0,                    848
1,1,0,0,1,1,0,1,                    833
